NumberOfRacks,RackType,LocationDescription,Coordinates,Status,Id
1,Hoop,Will Skelton Greenway,,Installed,1
1,Hoop,Ned McWheter Park,,Installed,2
2,Hoop,Burlington Branch Library,,Installed,3
3,Hitch,Cansler YMCA,,Installed,4
3,Hitch,Cansler YMCA,,Installed,5
3,Hoop,Farragut Presbyterian Church,,Installed,6
2,Hitch,Farragut Town Hall,,Installed,7
2,Hoop,Farragut Parks,,Installed,8
2,Hoop,Anchor Park,,Installed,9
1,Hoop,Turkey Creek Medical Center,,Installed,10
1,Hoop,Olive Garden,,Installed,11
2,Hoop,Travelers Call Center,,Installed,12
4,Hoop,Parkwest Hospital,,Installed,13
4,Hoop,TV Unitarian Church,,Installed,14
2,Hoop,Caswell Park,,Installed,15
1,Hoop,Caswell Park,,Installed,16
1,Hoop,Panera,,Installed,17
4,Hoop,Knox County Health Dept - North Entrance,,Installed,18
1,Hoop,Knox County Health Dept - South (back) entrance off of Bernard Ave,,Installed,19
1,Hoop,Bus Stop,,Installed,20
1,Hoop,Tyson Park,,Installed,21
1,Hoop,Tyson Park,,Installed,22
2,Hitch,Sterchi Lofts,,Installed,23
1,Hitch,Emporium,,Installed,24
2,Hitch,Visitors Center/WDVX,,Installed,25
1,Hitch,Downtown Wine & Spirits,,Installed,26
1,Hitch,Harrogate's,,Installed,27
1,Hitch,Regions - Miller Building,,Installed,28
1,Hitch,Krutch Park - east end,,Installed,29
1,Hitch,East Tennessee History Center,,Installed,30
1,Hitch,One Centre Sq,,Installed,31
1,Hitch,Former Regions / AmSouth Building,,Installed,32
1,Hitch,S Krutch Park,,Installed,33
1,Hitch,Urban Outfitters,,Installed,34
23,Hitch,Market Square,,Installed,35
1,Hitch,YMCA,,Installed,36
2,Hitch,YWCA,,Installed,37
4,Hitch,Lawson McGee Library,,Installed,38
1,Hitch,Knoxville Convention Center (NE Entrance),,Installed,39
2,Hitch,,,Installed,40
3,Hitch,The Bistro/Bijou Theater,,Installed,41
5,Hitch,City-County Main Street,,Installed,42
4,Hitch,City-County Hill Street,,Installed,43
1,Hitch,Post Office,,Installed,44
1,Hitch,Medical Arts Building,,Installed,45
1,Hitch,Medical Arts Building,,Installed,46
1,Hitch,Tennessee Theatre,,Installed,47
1,Hitch,Nama/Regal,,Installed,48
3,Hoop,walkway to State St.,,Installed,49
1,Hitch,Sapphire,,Installed,50
1,Hitch,Phoenix building,,Installed,51
2,Hitch,Maple Hall,,Installed,52
2,Hitch,Mast General Store,,Installed,53
1,Hitch,Andrew Johnson Building,,Installed,54
3,Hoop,Farragut Middle School,,Installed,55
1,Hoop,Victor Ashe Park,,Installed,56
1,Hoop,Adair Park,,Installed,57
2,Hoop,Tn Dept of Parole and Probation,,Installed,58
1,Hitch,Time Warp Tea Room,,Installed,59
1,Hitch,Taoist Tai Chi,,Installed,60
3,Other,ONK Park,,Installed,61
2,Hitch,Glowing Body,,Installed,62
1,Hitch,Gypsy Hands Healing Arts,,Installed,63
2,Hoop,CAC Building,,Installed,64
3,Hoop,James Agee Park,,Installed,65
139,Hoop,UT Campus,,Installed,66
2,Hoop,Blessed John 23 Catholic Center,,Installed,67
6,Hoop,University Gardens,,Installed,68
3,Hoop,Mercedes Place,,Installed,69
2,Hoop,Westwood Park,,Installed,70
1,Hoop,Island Home Park,,Installed,71
1,Hoop,Morningside Park,,Installed,72
2,Hitch,Barley's,,Installed,73
2,Hitch,Boyds Jig and Reel - On W Jackson Ave,,Installed,74
2,Hitch,Jackson Alteliers,,Installed,75
1,Hoop,Holston River Park,,Installed,76
2,Hoop,St James Episcopal,,Installed,77
6,Hoop,McFee Park,,Installed,78
1,Hoop,Snap Fitness,,Installed,79
1,Hoop,West Hills Community Park,,Installed,80
2,Hoop,Lakeshore Park,,Installed,81
1,,Crossroads Center,,Installed,82
1,Hoop,Crossroads Center,,Installed,83
1,Hoop,"Ingles, Crossroads Center",,Installed,84
1,Hoop,St. Mary's Fitness,,Installed,85
3,Hoop,Powell Branch LIbrary,,Installed,86
1,Hoop,Subway,,Installed,87
2,Hoop,Melton Lake Park,,Installed,88
4,Hoop,Oak Ridge Civic Center,,Installed,89
2,Other,Oak Ridge Public Library Plaza,,Installed,90
2,Hoop,Jackson Square,,Installed,91
2,Hoop,OHS Tennis Courts,,Installed,92
2,Hoop,Elm Grove Park,,Installed,93
2,Hoop,Highland View Park,,Installed,94
