"NumberOfRacks","RackType","LocationDescription","Address","Status"
"1","Hoop","Will Skelton Greenway","2225 Estelle Circle","Installed"
"1","Hoop","Ned McWheter Park","1648 Riverside","Installed"
"2","Hoop","Burlington Branch Library","4614 Asheville Hwy, Knoxville, TN 37914","Installed"
"3","Hitch","Cansler YMCA","616 Jessamine","Installed"
"3","Hitch","Cansler YMCA","616 Jessamine","Installed"
"3","Hoop","Farragut High School"," ","Installed"
"3","Hoop","Farragut Presbyterian Church","209 Jamestowne Blvd, Knoxville, TN 37934","Installed"
"2","Hitch","Farragut Town Hall","11408 Municipal Center Dr, Farragut, TN 37934","Installed"
"2","Hoop","Campbell Station Park across from Herron Rd"," ","Installed"
"2","Hoop","Farragut Parks","301 Watt Rd, Farragut, TN 37934","Installed"
"2","Hoop","Anchor Park","Farragut, TN 37934","Installed"
"1","Hoop","Turkey Creek Medical Center","10810 Parkside Dr","Installed"
"1","Hoop","Olive Garden","10923 Parkside Dr, Knoxville, TN 37934","Installed"
"2","Hoop","Travelers Call Center","1101 Corridor Park Blvd, Knoxville, TN 37932","Installed"
"4","Hoop","Parkwest Hospital","9352 Park W Blvd, Knoxville, TN 37923","Installed"
"2","Hoop","Starbucks - Kingston Pike - Bearden Kroger"," ","Installed"
"4","Hoop","TV Unitarian Church","2931 Kingston Pike","Installed"
"2","Hoop","Caswell Park","570 Winona St","Installed"
"1","Hoop","Caswell Park","570 Winona","Installed"
"1","Hoop","Panera","4893 N Broadway","Installed"
"4","Hoop","Knox County Health Dept - North Entrance ","140 Dameron Ave","Installed"
"1","Hoop","Knox County Health Dept - South (back) entrance off of Bernard Ave","140 Dameron Ave","Installed"
"1","Hoop","Bus Stop","Noelton/Kingston Pike","Installed"
"1","Hitch","Western Plaza"," ","Installed"
"1","Hitch","Western Plaza"," ","Installed"
"1","Hitch","Western Plaza"," ","Installed"
"1","Hitch","Western Plaza"," ","Installed"
"1","Hitch","Western Plaza"," ","Installed"
"1","Hitch","Western Plaza"," ","Installed"
"2","Hoop","Forest Park Blvd/Third Creek Trailhead"," ","Installed"
"1","Hoop","Tyson Park","2351 Kingston Pike","Installed"
"1","Hoop","Tyson Park","2351 Kingston Pike","Installed"
"2","Hitch","Sterchi Lofts","116 S. Gay street","Installed"
"1","Hitch","Emporium","100 S. Gay street","Installed"
"2","Hitch","Visitors Center/WDVX","301 S. Gay street","Installed"
"1","Hitch","Downtown Wine & Spirits","407 S. Gay St.","Installed"
"1","Hitch","Harrogate's","411 S. Gay Street","Installed"
"1","Hitch","Regions - Miller Building","465 S. Gay street","Installed"
"1","Hitch"," Krutch Park - east end","521 S. Gay St.","Installed"
"1","Hitch","East Tennessee History Center","601 Gay Street","Installed"
"1","Hitch","One Centre Sq","620 Market street","Installed"
"1","Hitch","Former Regions / AmSouth Building ","505 S Gay St","Installed"
"1","Hitch","S Krutch Park","315 Clinch","Installed"
"1","Hitch","Urban Outfitters","503 Market St","Installed"
"23","Hitch","Market Square","Market Square","Installed"
"1","Hitch","YMCA","605 Clinch","Installed"
"2","Hitch","YWCA","492 Clinch","Installed"
"3","Hoop - Rail mounted","UT Conference center"," ","Installed"
"4","Hitch","Lawson McGee Library","500 W Church","Installed"
"1","Hitch","Knoxville Convention Center (NE Entrance)","701 Henley St","Installed"
"2","Hitch"," ","World's Fair Park","Installed"
"3","Hitch"," The Bistro/Bijou Theater","803 S. Gay St.","Installed"
"5","Hitch","City-County Main Street","400 W Main Street","Installed"
"4","Hitch","City-County Hill Street","400 Hill","Installed"
"1","Hitch","Post Office","501 W Main","Installed"
"1","Hitch","Medical Arts Building","825 Locust","Installed"
"1","Hitch","Medical Arts Building","603 W Main","Installed"
"3","Hitch","Volunteer Landing"," ","Installed"
"1","Hitch","Tennessee Theatre","604 Gay Street","Installed"
"1","Hitch","Nama/Regal","506 S. Gay street","Installed"
"3","Hoop","walkway to State St.","506 S. Gay St.","Installed"
"1","Hitch","Sapphire","428 S. Gay street","Installed"
"1","Hitch","Phoenix building","418 S. Gay St","Installed"
"2","Hitch","Maple Hall","414 S. Gay street","Installed"
"2","Hitch","Mast General Store","402 S. Gay street","Installed"
"1","Hitch"," Andrew Johnson Building","912 S. Gay St.","Installed"
"3","Hoop","Farragut Middle School","200 West End Ave, Knoxville, TN 37934","Installed"
"1","Hoop","Victor Ashe Park","4901 Bradshaw","Installed"
"1","Hoop","Adair Park","1807 Adair Dr","Installed"
"2","Hoop","Tn Dept of Parole and Probation","1426 Elm St","Installed"
"1","Hitch","Time Warp Tea Room","1209 N Central","Installed"
"1","Hitch","Taoist Tai Chi","1205 N Central","Installed"
"3","Other"," ONK Park","400 Block E Oklahoma","Installed"
"2","Hitch","Glowing Body","711 Irwin St","Installed"
"1","Hitch","Gypsy Hands Healing Arts","707 N Central","Installed"
"2","Hoop","CAC Building","2247 Western Ave","Installed"
"3","Hoop","James Agee Park","Laurel and James Agee Street","Installed"
"139","Hoop","UT Campus","UT Campus","Installed"
"2","Hoop","Blessed John 23 Catholic Center","1710 Melrose Pl","Installed"
"30",""," "," ","To Be Replaced"
"6","Hoop","University Gardens","2518 Jacob Drive","Installed"
"3","Hoop","Mercedes Place","4845 Kingston Pike","Installed"
"2","Hoop","Westwood Park","Westwood Rd","Installed"
"1","Hoop","Island Home Park","2225 Estelle Circle","Installed"
"1","Hoop","Morningside Park","1600 Dandridge","Installed"
"2","Hitch","Barley's","200 E Jackson","Installed"
"1","Hitch","SE Corner Jackson/Central"," ","Installed"
"2","Hitch"," Boyds Jig and Reel - On W Jackson Ave","101 S Central Ave","Installed"
"2","Hitch","Jackson Alteliers","130 W Jackson","Installed"
"1","Hoop","Holston River Park","3300 Holston Hills Road","Installed"
"3","","Sams Club, Knoxville Centre"," ","Installed"
"2","Hoop","St James Episcopal","1101 N Broadway","Installed"
"6","Hoop","McFee Park","917 McFee Rd","Installed"
"1","Hoop","Snap Fitness","8651 Middlebrook Pike","Installed"
"1","Hoop","West Hills Community Park","7624 Sheffield Dr","Installed"
"1","Hoop","Sequoyah Hills Park"," ","Installed"
"2","Hoop","Lakeshore Park","6410 S Northshore","Installed"
"1","","Crossroads Center","7356 Norris Fwy","Installed"
"1","Hoop","Crossroads Center","7328 Norris Fwy, Knoxville, TN","Installed"
"1","Hoop","Ingles, Crossroads Center","7220 Norris Fwy, Knoxville, TN 37918","Installed"
"1","Hoop","St. Mary's Fitness","7540 Dannaher Dr, Powell, TN 37849","Installed"
"3","Hoop","Powell Branch LIbrary","330 W Emory Rd","Installed"
"1",""," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"1",""," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"1",""," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
